sentiment,review
positive,"aileen gonsalves, my girlfriend, is in this film playing a secretary at the main character s bank. she has a lovely scene with roshan seth in a restaurant. there is more information on her website at having stated my personal interest in the film, i have to say that i think it is a beautiful movie moving, funny and beautifully filmed."
positive,"jonathan demme s directorial debut for roger corman s legendary exploitation outfit new world pictures rates highly as one of the finest chicks in chains s grindhouse classics to ever grace celluloid. beauteous russ meyer starlet eric vixen, beyond the valley of the dolls gavin gives a robust, winning performance as a brassy, resilient new fish who does her best to persevere in a grimy, hellish penitentiary. the always fabulous barbara steele offers a deliciously wicked portrayal as the mean, crippled, sexually frustrated warden her erotic dream about doing a slow, steamy striptease in front of the lady inmates is a real dilly . longtime favorite s b movie actress roberta the arousers, unholy rollers collins delivers a hilariously raunchy and endearing turn as a cheerfully forward, foul mouthed kleptomaniac felon who tells a gut busting dirty joke about pinnochio. lynda gold a.k.a. crystin sinclaire of tobe hooper s eaten alive and curtis harrington s ruby makes her lively film debut as uninhibited wildcat crazy alice. and the ever cuddly cheryl rainbeaux smith does a lovely, touching reprise of her fragile frightened innocent role from lemora a child s tale of the supernatural. although this picture does deliver the expected ample amount of coarse language, nudity, rape and violence, it is still by no means a typically crass and sexist piece of lurid mindless filth the movie very effectively explores the many ways in which men cruelly exploit women and strongly asserts the pro feminist notion that women can overcome any obstacles if they band together into a group so they can bravely face their misogynistic oppressors as one mighty fighting force. demme s zesty, confidant direction comes through with a glorious abundance of astutely observed incidental details and delightful moments of engagingly quirky human behavior. furthermore, both tak fujimoto s vibrant cinematography and john cale s marvelously dolorous oddball blues score are on the money excellent. patrick wright sheriff mack in the uproariously awful cheap rubber monster suit creature feature howler track of the moonbeast has a sidesplitting bit as a jerky cop who has his car stolen by a trio of prison escapees when he stops at a gas station to use the bathroom. lively, rousing and immensely enjoyable, caged heat qualifies as absolutely essential viewing for s drive in movie fans."
positive,"when i rented this movie to watch it, i knew that it was not going to be a mindbender movie. instead i thought of it as a disbelief of reality where someone is going to get a serious beating. and you know what it worked. kurt russel did what i though was a remarkable role in showing the emotionless soldier that he was. i recommend this movie if your out with the boys and want to watch a good action film."
positive,"it is hard to say sometimes why exactly a film is so effective. from the moment i first came across the stone boy , something told me it would be a great film. in spite of that, it seemed very unlikely that i would ever have the opportunity to actually see it for myself. then, one day, while looking through the online catalogue of my local library, i saw that they had recently purchased the dvd release of this film. which i am extremely glad for, because the cinematography is of a stunning depth and quality that an old vhs copy could never replicate. and speaking of the cinematography, i must single it out as far and above the most stunning aspect of this film. as a photographer who pursues very nearly the exact visual style portrayed in the stone boy , i am a firm believer in the fact that a great cinematographer can almost single handedly carry a film. here, he has a lot of help from an extremely talented cast, and a director who understands perfectly what the story needs. but to have juan ruiz anch a behind the camera makes virtually every scene something of beauty. and you can almost never say that. most films would never even expect such a thing of you. scene after scene captures some detail, some little bit of visual magic that takes your breath away. the director, christopher cain, has had a long and interesting career. as far as i can gather, this film is not very representative of it. but, sometimes, to catch a director near the beginnings of his career, before all the big budgets and loss of focus, there is a real subtle magic to be found. cain steps back in this film, let us things happen with a life of their own, and then ever further. much like early john sayles films, characters are given space to breathe, time to talk. side stories happen because they do, and that is how life is. cain displays a remarkable, raw, even outright painful understanding of human nature in this film. the acting ties much of this story together. when people talk, when they exist in this film, they do so as actual people, not held back by the fact that they are playing characters. gina berriault s script allows immensely talented and respected actors like wilford brimley, robert duvall, glenn close, and frederic forrest to spend time simply existing. whether the things they have to say are minor or of deep significance, it all comes down with the weight of pure reality. when you look at the actors involved, or the great soundtrack by james horner, it seems strange that such a film be very nearly forgotten. maybe much of what makes the stone boy what it is was the time period it was made in. there is this s hangover feeling to this picture that reminds me deeply of my own childhood. people talk of the s in terms of modern styles and music, but that is not the s i lived in or remember. the look of the images, the understated and dark knowing quality of the acting, and the overall result should get under the skin of any person who grew up in or near this era of time in north america. i see myself in this. i see how i saw the world. and a film like the stone boy sees the world for how it truly is. for more of this feeling, please see the black stallion , never cry wolf , tender mercies , testament , places in the heart , matewan , high tide , driving miss daisy , the secret garden , the secret of roan inish , wendy and lucy"
positive,"yes, this gets the full ten stars. it is plain as day that this fill is genius. the universe sent trent harris a young, wonderfully strange man one day and harris caught him on tape, in all that true misfit glory that you just cannot fake. too bad it ended in tragedy for the young man, if only an alternate ending could be written for that fellow s story. the other two steps in the trilogy do retell the story, with sean penn and crispin glover in the roles of the young men, respectively. the world is expanded upon and the strangeness is contextualized by the retelling, giving us a broader glimpse into growing up weird in vanilla america. recommended for anyone and everyone!"
positive,hello. this movie is.......well.......okay. just kidding! its awesome! it is not a block buster smash hit. it is not meant to be. but its a big hit in my world. and my sisters. we are rockin rollers. go ramones!!!! this is a great movie.............. for me!
positive,"this is a film that was very well done. i had heard mixed reviews while it was in production and have been waiting for its release! cheers to the director and all the actors. the supporting cast gave eva mendez what she needed to take this to the top. as everyone else here states, the latter portion of the film is riveting. katie cassidy did an amazing job with her character, being she had not done a lot of work when this film was made. she has quite the career ahead of her. i was amazed at her performance. i completely enjoyed the film, questioned my values in life and priorities, and am a better person for it! a great message lies within the film. release it so all can enjoy!"
positive,"a typical romp through cheech and chong s reality which includes drugs, singing, more drugs, cars and driving, even more drugs, pee wee, aliens, gasoline, laundry, stand up comedy, surprisingly more drugs and space coke !!. it is not as coherent or plausible as up in smoke but it still is incredibly funny, without becoming as strange as nice dreams. there are some classic scenes, which include the opening scene where they get some gas for their car and the drive to work. also funny is cheech s song mexican americans and chong s follow up song. another notable scene is the welfare office scene with jones human noise machine , from the police academy series, and the old laughing man. all in all, this is a great follow up to up in smoke and is quite watchable when sober or not. celluloid rehab"
positive,ok here is what i say the movie was excellent. i am a huge nancy fan and i have read all original books and i went on to read more. i am now on . beware of villains giving this movie a lower grade than it should have. all clues point to a wonderful movie! i loved the whole thing. so what nancy is in current time. she is still old fashioned like she is in the books! people who have not read more than books are complaining about the view of nancy. i have read all of them and i think emma is perfect and that nancy was perfect. i found parts of the movie spooky. i loved the exciting car chases and get aways. i loved the clues. i solved the mystery myself! it was really wonderful. i suggest you go see it since people who have been complaining know nothing of a what a good movie is and b about nancy drew. go see it. it may not be oscar worthy but its really a good movie.
positive,"this is one of the first films i can remember, or maybe the first one. exactly the beautiful kind of film than introduce a kid, sweetly, into the world of violence and addictions were we live. a little bit of babe, casino and constantine, all this well mixed into a carton, and we get this. i do not know if its truly rated for kids, but i think it was very cool, very funny and interesting. i hate when a film spescially a carton can have a good end and its ruining because every character must have a happy end, even if it sounds weird i am not a bitter person .but this was ok, he simply goes heaven and they let it in that way. all this is just a critic, its a good movie an something new. very touching and i got to go"
positive,"this film is worth seeing alone for jared harris outstanding portrayal of john lennon. it does not matter that harris does not exactly resemble lennon his mannerisms, expressions, posture, accent and attitude are pure lennon. best scene lennon in a local cafe verbally sparring with a stuttering fan as to whether paul mccartney wings silly love songs is worthy of status in america."
positive,"i was years old when this show was on tv. by far it was my favorite. the actors were very credible. alexandra bastedo was just gorgeous.... i just order the dvd episodes . they did not have super powers. they just had superior human skills strength, hearing, sight . the actors were very good in their rolls, very believable. there was a good story in each episode. at the time, there were no special effects or explosions everywhere, so the script was suppose to be good, and the characters performs were great. there was no fancy stuff, like in other shows. they did not try to make a joke every minutes to make a light show. i highly recommend this tv show to anybody that like good stuff."
positive,"here is another movie that should be loaded into a satellite, fired into space and pointed in the direction of the galaxy andromeda to show distant possible civilizations the best of humanity. this movie is so endearingly stupid and revealingly honest in being little more than a rip off of the already bad movie classic king kong from that it not only manages to upstage that film in terms of sheer belly laugh idiotic goofiness, but successfully predicted much of peter jackson s miserable computer cartoon bearing the same name, as far as a romance between the giant here a yeti and a gorgeous human female antonellina interlenghi of umberto lenzi s city of the living dead, who is very easy on the eyes . the film was made for kids so aside from some innuendo over fish bones and a bizarre nipple tweak to say goodbye you can forget about sex the yeti even has a sort of giant jock strap to cover up his monstrous package, the result being even more amusing than anatomical correctness. but as a trade off you do get a wacky old scientist, two inquisitive kids, tony kendall in a rare turn as a duplicitous bastard of a villain, a helpful intelligent collie dog who gets to have her own adventure dog adventure movies were big in europe for a while and of course emerges as the hero at the end for saving the yeti, who turns out to be the good guy, glorious stuff like front end loaders decorated to look like giant ape hands, a monster who is size literally changes scale from shot to shot, some inappropriately horrible deaths that will make the carnage in godzilla vs the smog monster look tame by comparison, crowd reaction shots a plenty made up of either spanish, italian or canadian extras depending upon scene you can sort of tell where they were shooting from how the extras are dressed , and some of the most enthusiastically staged but inept special effects work ever in a giant monkey movie. it is here that the film won me over it is enthusiasm just for being made. frank kramer is actually the same gianfranco parolini who brought the world sartana in and god s gun the year before this was a very important director in the spaghetti western and action adventure genre film scene from the s s and by the time of yeti he was probably delighted to get the work. i would say that this is his most adventuresome movie ever, or rather the one he took the most chances with, and may have felt more comfortable taking those chances with the film aimed at kids families. the movie has a kind of reckless abandon to the way it was made that renders the technical errors or inconsistencies totally meaningless. or rather they are part of the fun, and if the movie had been played seriously it would not have worked which is exactly why peter jackson s movie sucked. he forgot to have fun with the material and let it dictate the outcome using his army of stupid power macintosh pod people animators, and with all it is faults clunkiness, kramer s yeti is actually closer to the spirit of why we watch movies like this, which is partly to see actors in ape suits tearing apart miniature sets on sound stages, not seamlessly animated vapid hours of nothing other than hard drive space. i would rank this up there with king kong versus godzilla and it! curse of the great golem as one of the most enjoyably improbable giant rampaging monster movies ever. because the movie looks so fake you can get over the story and just have fun watching stuff get wrecked, trampled, tossed about and smashed. knowing that and armed with a fertile, energetic enthusiasm for having the chance to make the movie, parolini pulled out all the stops and delivers a full bodied adventure that might get a bit rough for some of the small tykes but is the first movie i will ever share with the grandkids someday when their stupid parents leave them with me for a weekend. this is stuff for the ages and one of the most telling expressions of humanity to ever be committed to celluloid. , it is about ten minutes too long but who cares, you only come around once and i would rather go out with a smile on my face."
positive,"to all the reviewers on this page, i would have to say this movie is worth seeing. so it was made in , so what. the fashion in the movie was exactly the same fashion of its time. people who did not study culture of the decades would think that this movie is a cheese ball. compared to the modern series, left behind, which is made for our time right now it does look cheezy. however, the only cheezy part of the movie is the fashion, which again was over years in the past. but. the message that is sent in this film is very powerful, and carefully preserved. there is just so much to say, but i refuse to say it. for fear of spoiling it so go out and see this film! if you do not like the message that it sends, then you have issues, that need some attention!"
positive,"a favourite of mine,this movie tells of two feuding new york characters , steve brodie raft and chuck connors beery ,who both strive to be the main guy in the bowery in the late nineteenth century. brodie and connors ,were real people,though this is a heavily fictionalized account of their antics based on a play .brodie s legendary did he do it? it is still a because of argument! ,jump from the brooklyn bridge ,for which he became famous,is shown here as happening around the same time as the spanish american war .director walsh clearly had a great affection for the period,so beautifully recreated here,and it includes a wild rumbustious ragtime number from saloon singer trixie odbray a young pert kelton .raft is at his slickest as brodie,and beery shows again what a clever actor he was,as tough, big hearted, and at times quite touching connors.pretty fay wray is the love interest both the boys are pursuing. full of life and energy, the bowery moves at a fast pace unlike many early talkies .it is not an easy movie to find,but is well worth looking out for."
positive,as most off you might off seen star wars return off the jedi you may knows its a good movie but as you might have seen on video they m might have a party at the end and they just probably end the movie with the party with no a spirits or anything but on the original one live tv when they are partying but before i say more when ben obi wan dies in the imperial ship or death star they saw him disappear and yoda dies from either old age or internal illness but because luke killed darth vader real name anakin skywalker when they all are partying at the end when luke or someone stops the spirits off ben and yoda stands starring at him and smiling while another spirit appears is its darth vader but not as a sith as the old usual selve off him and started smiling with ben and yoda i reckon that made the movie ending a little bit interesting but the producers or anyone should off made a spirit off padme and mace windu and other jedis that got killed with younglings under there arms in the back ground
positive,"i thought this movie was lol funny. it is a fun, not to be taken seriously, movie about one man s twisted views on life, love, and... well, ladies from the lowly bus station skank, to the high class d butante... bus station skank. tim meadows plays a guy leon phelps who was raised by in a playboy style mansion by a hugh hefner esquire father figure, surrounded constantly by beautiful porn models and actresses. when his father kicks him out on the street he must learn to fend for himself with nothing but the chauvinistic outlook on life that his youth has taught him... that and an unfathomable, nearly mystical level of charm and dumb luck. and so the hijinx begin! if you have not seen this movie and you enjoy a light hearted, semi mindless, comedy love story, then i highly recommend renting the ladies man ."
positive,"hood of the living dead had a lot to live up to even before the opening credits began. first, any play on ...of the living dead invokes his holiness mr. romero and instantly sets up a high standard to which many movies cannot afford to aspire. and second, my movie watching companion professed doubt that any urban horror film would surpass the seminal leprechaun in the hood. skeptical, we settled in to watch. we were rewarded with a surprisingly sincere and good hearted zombie film. oh, certainly the budget is low, and of course the directors amateurs friends populate the cast, but hood of the living dead loves zombie cinema. cheap? yeah. but when it is this cheap, you can clearly see where love holds it together. ricky works in a lab during the day and as a surrogate parent to his younger brother at night. he dreams of moving out of oakland. before this planned escape, however, his brother is shot to death in a drive by. ricky s keen scientific mind presents an option superior to cpr or injections of his lab s experimental regenerative formula. sadly, little bro wakes up in an ambulance as a bloodthirsty oakland zombie! chaos and mayhem! i think it is more economical to eat your enemies than take vengeance in a drive by, but then again, i am a poor judge of the complexities of urban life. how poor a judge? in response to a gory scene involving four men, i opined ah ha! white t shirts on everyone so the blood shows up. economical! i used the same technique in my own low budget horror film. jordan replied, no, that is gang dress. white t shirts were banned from new orleans bars for a time as a result. oh. a lot of the movie is set in someone is living room, so there is a great deal of hanging out and waiting for the zombies. but the characters are sympathetic and the movie is sincere it surpasses its budget in spirit. zombie explanation when man plays god, zombies arise! or, perhaps follow fda approved testing rules before human experimentation! contribution to the zombie canon this is the first zombie movie i have seen with a drive by shooting. as far as the actual zombies go, infection is spread with a bite as usual, but quite unusually head shots do not work it is heart shots that kill. zombies have pulses, the absence of which proves true death. and these zombies make pretty cool jaguar growl noises. gratuitous zombie movie in joke a mercenary named romero. groan. favorite zombie jaguar noise little brother zombie, of course!"
positive,"pierce brosnan the newest but no longer james bond, is an assassin. he is very very good at what he does, but he is getting old and tired. greg kinnair is really good as the straight and narrow business man. now when the story opens the movie shows these two people in their separate lives. then one night they are having drinks in a bar, and they begin to talk. then all of a sudden you find these two people getting drawn together during a series of events. the story is excellent, the acting is top notch, and the humor is hilarious i never thought that pierce brosnan would be this funny, but he really is and i must say this movie is a must see."
positive,"this is one of those film s pilot that if you knew battlestar galactica it helps, but is not necessary. what makes this even more believable of a story than bsg is that this is not something so far away in the future. this has such a depth to it that it is quite astonishing it was not released theatrically. the leads could not have been chosen better in such experienced quite talented actors. eric stoltz is superb as the father who will do anything to be re united w his daughter however real or not she is he will do it no matter the cost. paula malcomson of deadwood fame is terrific as his wife as well. you are not sure completely of his motives whether it is love or money or both, but that is what makes this pilot even more intriguing. i see a star in the making of zoe played by the relative unknown alessandra torresani her performance. esai morales is terrific in his desire to see his loved one again just how wrong to be even considering what he wants more than his moral objections. i did not think this would be a good idea when it was announced but from the pilot alone i am thrilled to see how we got to the bsg stage story. it is great to see adama as a child already being affected influenced by the different sorts of robots starting to permeate life at this stage. i just hope that they can keep up the stories so we can figure out even more how they got the the humanoid typed robots. this is an almost perfect pilot i hope they can keep up the fantastic storytelling. even the visual effects are better than most of the garbage you see on the big screen. if you have not gotten into bsg, least try this i will bet you become a fan will want to see how the bsg story came to be."
positive,"this could not have been better. the strong restraints on mike sullivan s expressions could not have been portrayed in any other way. tom hanks delivers the best performance of his career. young tyler hoechlin drives an emotional wheel playing the basis character for the story. and veteran paul newman gives one of his best character performances in a long time. this film is based on a bold graphic novel by max allan collins and richard piers rayner. this is a father son story which basically employs the two candidates solely unfit for the roles. mike sullivan had no father as a child, so john rooney took him in. although a generous man, mr. rooney involved himself in organized crime. therefore, the debt of sullivan was only to be paid off in involving himself in the business. now, sullivan has a wife and two children and is trying to keep his children safe, but at the same time pay back his boss. the events to follow, will test sullivan s loyalty and embrace his family s fate. with a great adaptation by david self, the dialogue comes out seldomly, but yet very virtuous. the story unfolds in a beautiful s setting brilliant art direction by richard l. johnson nancy haigh covered with a dark rainy snow on the ground exterior. driving the story, is thomas newman s wonderful irish score, settling in only when necessary. but the most important technical element in the film is conrad l. hall s beautiful photography. this is some of the best cinematography i have seen and i watch a lot of films. the scene when mike and michael are in the car, entering chicago is quite impressive. the shot starts at the front of the car, revealing mike hanks through the windshield. it subsequently dollys around to the side of the car, to see michael hoechlin awakening and peering out his side window. as it continues, it trucks sideways and dollys back, completely around the car and reveals a gorgeous scenic s chicago. with a great cast and crew, the principle man creates a brazenly amazing film. i am talking about sam mendes, who made his feature film debut in with american beauty. won him various awards before american beauty, mendes worked as a play director for the british theater, but decided that he wanted to move on saying that there was nothing new for him in theater. with only two films, sam mendes has marked himself in my book as one of the great directors in a list of about twenty five . the film illuminates a brazen genre that has its hits and misses and expresses the true theme brilliantly. the photography, acting and story is phenominal. i am still waiting for scorcesee s gangs of new york, but for now, i am fully confident in saying that this is the best film of the year . considering it is competition signs, insomnia, minority report that is a strong statement."
positive,"i was probably one of the few australians not watching the tennis when this series aired. i have to say when william mcinnes first appeared i though, that is one crappy actor! but as the series continued he toned down his performance and i totally loved him. he was such a rotten guy but he did make me laugh. i watched the show to see hugo speers heart and bones, the full monty and tom long seachange, two hands . it was interesting to see speers play a nice, quiet man and even more interesting to watch tom longs rippling muscles! sigh... seriously, long s performance was a total shock and really brilliant. he stole the show. martin sacks was good also in a small role, and the leading actress put in an entertaining performance. i would recommend this programme if you enjoy stories with a twist and watching tom long walk around with no shirt on..."
positive,"my evaluation i like a lot this movie. compare to today brainless movie just action and special effet and nothing new about ideas , soylent green ask to something that today does not exist anymore to think. well it would not a big surprise a day human eat cookies which are create with body of human. with all what happen on this planet, and to see how people are so indifferent to all, this kind of future is possible. sure this movie take some age but the idea behind the movie is actual again. rich at paradise, other in the hell. well a luck today they are tv and idiocy like reality show . tv is a good wash brain. it is pity to see that intelligence of human have not progress like technologies. since writing all stop. if you like reality show this movie is not for you. if you believe all politician same too. if you do not like ask yourself question about now and future well never look this movie."
positive,"james stewart stars in a classic western tale of revenge which ties in with the fate of the films other star the winchester rifle. stewart is it goes without saying excellent adding some cold hard obsession to his usual laid back cowboy. the story follows the fate of a winchester rifle and its owners after being won in a competition by our hero and stolen by the man he is hunting. we meet a selection of gamblers, gun fighters, indian traders and bank robers as we follow the rifles path through indian battles, bank heists etc. the supporting cast are all solid with dan durya standing out as waco johnny dean the live wire gunfighter with an itchy trigger finger. also as a trivia note a very early appearance from rock hudson as an indian chief. the end showdown is a classic a tense rifle battle fought at long range in and around a rocky outcrop. throw in some good old western action, fist fights, shootouts and horseback chases it makes for a rollicking western adventure."
positive,"this movie did not really surprise me, as such, it just got better and better. i thought paul rieser wrote this, huh? well...we will see how he does... then i saw peter falk was in it. i appreciate colombo. even though i was never a big fan of the show, i have always liked watching peter falk. the performances of peter and paul were so natural that i felt like a fly on the wall. they played off of each other so well that i practically felt giddy with enjoyment! ...and i had not even been drinking! this movie was so well done that i wanted to get right on the phone to paul and let him know how much i enjoyed it! but i could not find his number. must be unlisted or something. this was one of those movies that i had no idea what it was going to be about or who was in it or anything. it just came on and i thought eh, why not? let us see. if i do not like it i do not have to watch it... ...and i ended up just loving it!"
positive,"one of the most nihilistic and brutal films i have ever seen, but also one of the most tragic and moving ones. this is an action melodrama like the world has never seen it before. sometimes the plot got me close to tears, while in the next moment delivering shocking revelations like a bone crunching blow to the guts. chilling performance by edison chen. the story of a hk cop and a cambodian killer hunting each other down, while bit by bit losing their humanity, is a strong one. featuring very little dialog in favor of haunting imagery and gritty camera work, dog bite dog is pure hk bloodshed without the heroism."
positive,"this is an excellent film for female body builder female action fans! i think that sue price did a great job in this film series nemesis , , and proved to be a great fighter. she has a very striking appearance and a will of iron to resist the powerful nebula nemesis . though not a film of great value and sue price s acting skills not the best to have met in my life, the movie itself was something awesome, a priceless gem for fans of female body builder action! well, some parts of nemesis have been copied by other famous sci fi films, such as terminator or predator, but that is not the point. the point is that a.puyn casted in that film a very talented body builder who put all of her energy and body talent to show us the best she can do. i really enjoyed that film and watched with the same enthusiasm nemesis a rather boring sequel and nemesis a much more interesting sequel than . what a pity it has not shown yet on dvd"
positive,"this is a great movie that i do not think gets enough credit as saturday night fever or grease in john travolta s career. he plays a man who is in love with a girl but is too pig headed to admit his feelings to her. instead, he wants to engage in mechanical bull riding because he thinks it will show his manhood. even though it was made in , it is still timely today. the great country music soundtrack is terrific."
positive,"one of the best love stories i have ever seen. it is a bit like watching a train wreck in slow motion, but lovely nonetheless... big edie and little edie seem a bit like family members after watching this movie repeatedly, and are infinitely quotable it is a goddamned beautiful day, now will you just shut up? the opening explanation of little edie s costume only promises that the movie will live on forever, and so will big edie the world famous singer and little edie the world famous dancer."
positive,"thanks should be given to the hong kong vcd dvd distributors that i only paid us . and i could have such a surprisingly delightful enjoyment. adultery? how common in our modern days. eva grabbed her two children and kidnapped nick to chase after luis and charlotte to italy. she wants her revenge done but at the end, she also commits the same crime of luis she had sex with nick. in this small indie production, vivian naefe dealt with the teething problems in modern marriage with a light heart. how can one dare treat marriage seriously in this fast food time where people are now of higher mobility in physical, mental and technology areas? conjugal commitment asks for too high a price that most people would choose to succumb to circumstances. nick once trusted charlotte but he fell for eva after that kidnap journey which forced him to experience much growth. most viewers may feel happy about the ending because eva and nick come together, well, this should be the greatest retribution to the unfaithful act of their spouses. however, i want a sequel, i want to see how the four would develop after this exchange. perhaps they may exchange back, how can one be so sure about the shaky love relationship. good acting and good scenery. the two little child actors should not be neglected especially the boy when he cries at the reception of the hotel in venezia. and of course, how can we forget the bella, bella scenery of the city."
